anneemois,num_poste,nom_poste,longitude,latitude,valeur_tn,valeur_tx,valeur_rr
197501,129075001,BREST-GUIPAVAS,-4.383,48.45,5.5,10.6,160.6
197502,129075001,BREST-GUIPAVAS,-4.383,48.45,4.3,11.3,29.1
197503,129075001,BREST-GUIPAVAS,-4.383,48.45,3.7,9.1,149.7
197504,129075001,BREST-GUIPAVAS,-4.383,48.45,5.1,12,55.9
197505,129075001,BREST-GUIPAVAS,-4.383,48.45,7.5,14.2,29.8
197506,129075001,BREST-GUIPAVAS,-4.383,48.45,10,19.5,30.4
197507,129075001,BREST-GUIPAVAS,-4.383,48.45,13.1,21.4,30.1
197508,129075001,BREST-GUIPAVAS,-4.383,48.45,13.8,22.2,63.7
197509,129075001,BREST-GUIPAVAS,-4.383,48.45,10.5,17.5,117.1
197510,129075001,BREST-GUIPAVAS,-4.383,48.45,7.7,14.8,72.9
197511,129075001,BREST-GUIPAVAS,-4.383,48.45,5.6,11.4,136.5
197512,129075001,BREST-GUIPAVAS,-4.383,48.45,3.6,8,64.9
