ANNEE	TX	TM	TN
1964	18.7916666666667	14.3666666666667	9.96666666666667
1965	18.3583333333333	13.8333333333333	9.30833333333333
1966	19.3083333333333	14.825	10.3333333333333
1967	19.1833333333333	14.675	10.1916666666667
1968	19.0333333333333	14.35	9.7
1969	18.3583333333333	14.0083333333333	9.625
1970	18.5666666666667	14.125	9.69166666666667
1971	19.025	14.425	9.86666666666667
1972	19.3083333333333	14.8	10.3
1973	18.2166666666667	13.6833333333333	9.14166666666667
1974	19.475	14.7583333333333	10.0083333333333
1975	18.6833333333333	14.2333333333333	9.80833333333333
1976	18.7833333333333	14.2916666666667	9.78333333333333
1977	18.875	14.3333333333333	9.8
1978	18.4333333333333	14.0833333333333	9.725
1979	18.6416666666667	14.1166666666667	9.575
1980	19.3083333333333	14.5833333333333	9.85
1981	18.4916666666667	14.1083333333333	9.68333333333333
1982	18.75	14.075	9.40833333333333
1983	19.65	14.9166666666667	10.2083333333333
1984	19.7583333333333	15.1666666666667	10.6166666666667
1985	19.325	14.8333333333333	10.325
1986	18.65	14.0583333333333	9.50833333333333
1987	19.5416666666667	14.7916666666667	10.0583333333333
1988	19.2166666666667	14.7083333333333	10.2
1989	18.8416666666667	14.4083333333333	9.96666666666667
1990	19.7583333333333	15.2083333333333	10.6666666666667
1991	20.3166666666667	15.5166666666667	10.7333333333333
1992	20.6166666666667	15.6833333333333	10.8333333333333
1993	19.3	14.6333333333333	9.95833333333333
1994	19.3583333333333	14.7916666666667	10.2166666666667
1995	19.0583333333333	14.5666666666667	10.0833333333333
1996	19.1333333333333	14.6833333333333	10.225
1997	19.825	15.3333333333333	10.8583333333333
1998	19.3166666666667	14.8416666666667	10.375
1999	18.4	14.0833333333333	9.75833333333333
2000	20.3	15.5333333333333	10.8083333333333
2001	19.85	14.9583333333333	10.0583333333333
2002	19.725	15.0166666666667	10.3166666666667
2003	19.9166666666667	15.1166666666667	10.2916666666667
2004	20.475	15.7833333333333	11.0583333333333
2005	19.9416666666667	15.1333333333333	10.3416666666667
2006	19.925	15.2083333333333	10.475
2007	20.35	15.5333333333333	10.7416666666667
2008	19.725	14.825	9.91666666666666
2009	19.4083333333333	14.6916666666667	9.96666666666667
2010	21.175	16.25	11.3333333333333
2011	20.3	15.4	10.5166666666667
2012	19.6	14.925	10.2666666666667
2013	20.3666666666667	15.675	10.975
2014	19.075	14.575	10.05
2015	19.975	15.2583333333333	10.5166666666667
2016	20.85	15.95	11.05
2017	19.5416666666667	14.8666666666667	10.2166666666667
2018	20.975	16.1833333333333	11.4
2019	20.65	15.8416666666667	11.0083333333333
2020	21.075	15.9083333333333	10.7166666666667
2021	20.9916666666667	15.675	10.375
2022	21.3	15.6833333333333	10.0416666666667
2023	20.9166666666667	15.7916666666667	10.65
